Store Name, Address
        South Birmingham   ,       2544 Rocky Ridge Rd	Birmingham  AL	35243   
        Richburg   ,       3104 Commerce Dr. Richburg  SC	29729   
        Georgetown   ,       3508 South Fraser St	Georgetown 	SC	29440   
        West Wichita   ,       10723 W Kellogg Ave	Wichita  KS	67209   
        Central Springfield   ,       408 Memorial Blvd Springfield  TN	37172   
        New Tazewell   ,       1109 HWY 33 S 	New Tazewell  TN  37825   
        West Holland   ,       9140 Angola Rd Holland  OH	43528   
        Whitehouse   ,       6825 Finzel Rd Whitehouse  OH 43571   
        Southwest Mesa   ,       7602 S McClintock Dr	Mesa  AZ 85204   
        East Mesa   ,       1650 E Broadway Rd	Mesa  AZ	85204   
        Midtown Houston   ,       2220 Main St Houston  TX	77002   
        Oklahoma City West   ,       1601 S Morgan Rd Oklahoma City  OK	73128   
        Chino Hills Southwest   ,       1400 Carbon Canyon Rd	Chino Hills  CA	91709   
        Houston Gardens West   ,       7702 Eastex Fwy	Houston  TX	77093   
        Topeka South   ,       3101 SW 29th St	Topeka  KS 66614   
        Payson   ,       706 E  AZ-260 Payson  AZ	85541   
        Santa Fe Kansas City   ,       914 S 55 st Kansas City  KS	66106   
        Northeast Fairfax   ,       8413 Lee Hwy Fairfax  VA	22031   
        South Apopka   ,       454 W Main St Apopka  FL	32712   
        Cross Gates   ,       7007 Longview Rd Kansas City  MO	64134   
        Valrico   ,       2104 E Brandon Blvd	Valrico  FL	33594   
        Olathe   ,       8535 State Ave Kansas City  KS 66112   
        Parkville Bend   ,       7500 NW River Park Dr Parkville  MO	64152   
        Omaha West   ,       2219 N 90th St Omaha  NE 	68134   
        Arlington North   ,       5601 Lee Hwy Arlington  VA	22207   
        Hoboken   ,       240 Garden St Hoboken  NJ	07030   
        Downtown Cedar Rapids   ,       200 1st Ave NE Suite 124	Cedar Rapids   IA	52401   
        East Side   ,       913 N Mittman St San Antonio 	TX	78202   
        Crown Meadows   ,       8802 Potranco Rd #10 San Antonio  TX	78251   
        Decatur South   ,       1024 Somerville road SE Decatur  AL	35601   
        Bean Station   ,       682 US 25E Bean Station  TN 	37708   
        White Pine   ,       280 HWY 113 White Pine  TN 	37890   
        Bon Air   ,       8806 Forest Hill Ave Richmond  VA	23235   
        Little River   ,       11076 SC-90	Little River  SC 29566   
